id,index,x,y,goal,goal_smf,x0,c,angle,distance,xg_basic,gk_distance,gk_distance_y,close_players,triangle,gk_dist_to_goal,is_closer,header
f4889f42-cf51-4c27-8c8d-d57040b17ce1,368,25.549999999999997,16.15,0,0,79.45,17.85,11.046323048410434,31.16769160525046,0.026872950817572377,29.55546914278303,16.660000000000004,0,2,1.6462096616166486,0,0
3e3c20ab-5233-479f-877e-73b94d01a963,495,7.174999999999997,33.404999999999994,0,0,97.825,0.595000000000006,53.80036311937472,7.199628462636108,0.23064313541620907,6.328034845036804,0.595000000000006,2,1,0.875,0,1
f6fa4021-385f-4353-9e41-81a9ade1d2ac,731,22.837500000000006,41.735,0,0,82.1625,7.734999999999999,16.400289659838947,24.111856652900048,0.044002765923866496,22.043447013795287,6.969999999999999,1,1,2.07143669949144,0,0
3c75ac72-8c43-4ca4-b6f4-2d38dc58c8c7,1069,26.075000000000003,15.98,0,0,78.925,18.02,10.899337112341646,31.695836082993615,0.026060481087888276,30.327899799524527,17.509999999999994,0,2,1.4081037781356902,0,0
49c30b55-a2df-4b6e-84fa-101457ed2d08,1356,13.5625,47.515,0,0,91.4375,13.515,15.699574176824825,19.146713327618397,0.05535312380292653,16.224500955345285,11.305,1,1,2.9308232631805,0,0
e6c21735-9791-43f8-ac6b-5e18782df505,1360,7.875,21.165,0,0,97.125,12.835,15.119221763331725,15.058314978775016,0.06670923389681548,13.10182143825811,11.389999999999993,1,1,2.0119704272180634,0,0
7bd0743e-8b06-4292-b33f-1d5cd8bdfa26,1435,26.862499999999997,43.17999999999999,0,0,78.1375,9.179999999999993,13.93520493821158,28.387784454761515,0.03332645120886006,27.425455784726715,8.5,0,1,1.0404596340079615,0,0
0498726a-bc2c-4ff9-ae79-7a61a24820f0,1601,8.137500000000003,28.220000000000006,0,0,96.8625,5.779999999999994,34.635653724765895,9.981347917490902,0.13507664548529938,7.800270828631522,3.059999999999988,2,1,2.8852740337791216,0,1
634a3e52-38d5-4804-8904-8005defb69fe,1760,27.387500000000003,39.015,0,0,77.6125,5.015000000000001,14.743209646377657,27.84286948663877,0.03497139291402519,26.209270306515602,5.015000000000001,0,2,1.6624999999999943,0,0
41c752ca-0121-4090-a8c1-685a10fa057e,2057,11.637500000000003,41.225,0,0,93.3625,7.225000000000001,26.054621867390257,13.697884188808143,0.09294874496259337,10.634198665155733,5.354999999999997,1,1,3.0821096670949317,0,0
86dbd9bc-0440-4b19-9dfb-89927444bdf0,2147,23.974999999999994,28.05,0,0,81.025,5.949999999999999,16.386480815143763,24.702289873612926,0.04270568898023513,22.690934863949522,5.354999999999993,0,1,2.0148573150473945,0,0
a10836e8-28f3-4ab4-b250-1dec9756559b,2264,15.575000000000003,40.205,0,0,89.425,6.204999999999998,23.069351540431278,16.76551967581083,0.0746303053145073,15.675842281995575,4.675000000000004,1,2,1.6480461917070097,0,0
acd9662b-e988-4e78-98f1-6f7b6194a7d1,2369,14.962500000000006,35.275,0,0,90.0375,1.2749999999999986,27.310495118974142,15.016725050755912,0.08996955735093559,13.513549681708364,1.0200000000000031,2,2,1.5091988768879963,0,0
eadaaccd-319b-4275-af68-47701b7c2433,2448,18.375,43.86,1,1,86.625,9.86,17.69981253875383,20.853302496247448,0.053476067046071316,18.478877975948645,8.245000000000005,1,1,2.4463505983403127,0,0
932ffe4b-43f7-4ebc-b153-c9f1cee64235,2477,11.900000000000006,22.439999999999998,0,0,93.1,11.560000000000002,18.40054451873607,16.590467142307965,0.06711535784986448,14.840141719336785,10.030000000000008,1,2,1.8075691549702857,0,0
948e24bf-70b3-4ba6-974b-adfcd960c072,2564,3.4124999999999943,29.665,0,0,101.5875,4.335000000000001,55.696992088421375,5.517008360515685,0.2560752971857661,1.9914128150637151,0.5100000000000016,2,2,4.104056682113441,0,0
48885ba4-54e3-4504-afd3-8941e149497b,2753,16.537499999999994,20.74,0,0,88.4625,13.260000000000002,15.519884027040618,21.19708721145431,0.0497756949567006,18.77207766870785,11.220000000000002,1,1,2.5247289458474524,0,0
b03dce7c-339d-4fd9-b398-9e3ec0717e82,2810,4.375,27.370000000000005,0,0,100.625,6.6299999999999955,32.7953530747514,7.943395055012683,0.14200455001939544,3.0067933500658137,2.3799999999999955,2,1,4.949889518969082,0,0
c588cd68-2c13-434b-8e56-b0b0d1cd37ba,2900,18.637500000000003,46.07000000000001,1,1,86.3625,12.070000000000007,15.877438558430583,22.20453346166049,0.04776743182196324,20.11636911199434,10.370000000000005,0,4,2.20227155455453,0,0
e8f67d6a-1a7d-4465-877b-6b1609fbfa59,2946,5.950000000000003,38.335,0,0,99.05,4.335000000000001,46.87054869804539,7.361706663539375,0.1984024935828789,6.598969616538636,4.420000000000002,1,1,1.053434857976512,0,1
c3afd07a-30a8-4130-abb4-0d52ffc4db74,3092,14.875,43.69,0,0,90.125,9.689999999999998,19.84075112392701,17.752794850389048,0.0657024319807559,15.857968225784793,8.5,1,1,1.9049294606362688,0,0
c143ff60-2804-46e2-b57c-a49b1beafcf3,3290,20.474999999999994,19.805,0,0,84.525,14.195,13.862524344253467,24.914326199999866,0.039635703419123085,23.231283326583576,13.005000000000003,1,2,1.7078422058258136,0,0
5260d50b-7796-4efd-8d14-8c0aa3757d7c,3400,8.400000000000006,31.025,0,0,96.6,2.9750000000000014,42.966554005311686,8.911263939531816,0.17070940245631844,8.008873594332735,1.8700000000000045,2,2,1.2634006688299597,0,0
45526df8-c46d-4e6b-ae8a-e28ad20d9338,3478,2.450000000000003,29.410000000000004,0,0,102.55,4.589999999999996,52.673822946066686,5.2029414757423496,0.24417555325815327,4.0981771862622,3.569999999999993,2,2,1.1098676722925154,0,1
aa17ab1c-f0a0-4171-93d2-6261cb28b6d3,3716,13.650000000000006,37.825,0,0,91.35,3.825000000000003,28.045681185257035,14.175793628576855,0.0953018998868635,12.994626052718875,4.079999999999998,1,3,1.3370419776506637,0,0
d88063c8-c0ec-4a66-b2b5-4a469b415858,3933,10.587500000000006,22.27,0,0,94.4125,11.73,18.15874050185619,15.801520694224342,0.06933465675959903,12.017812040883323,8.330000000000002,0,2,3.907124902021943,0,0
5fe6c3ab-93a3-4c4e-ac4b-c16d02a8d55d,3943,24.587500000000006,13.515,0,0,80.4125,20.485,10.096280860245678,32.00281833292187,0.02513043928388633,30.483144522834255,19.889999999999993,1,2,1.6020865301225145,0,0
b313d5de-0815-4721-a33f-57aa41b27ff5,4024,34.212500000000006,42.839999999999996,0,0,70.7875,8.839999999999996,11.460889486825314,35.33611122138372,0.02195265798749422,33.581176740102485,7.904999999999994,1,4,1.8316249616119598,0,0
5554a3fe-6ec5-4f78-9ba5-68e36530d0f5,46,13.212500000000006,40.714999999999996,0,0,91.7875,6.714999999999996,25.121305689892917,14.8209777427132,0.0861470280368258,6.124722442690775,2.039999999999999,0,1,8.784761308652614,0,0
c89d0f43-a94f-48c5-accb-e22099c661c6,88,20.037499999999994,44.625,0,0,84.9625,10.625,16.318213207701973,22.680212328150716,0.04716813169183855,21.127360962742127,9.265,2,2,1.7181676286090344,0,0
332b2eb2-784e-439a-87e2-8ebfa2a1101c,229,12.599999999999994,37.739999999999995,0,0,92.4,3.739999999999995,30.062005963096702,13.14334812747497,0.10496722241846676,11.206717851360398,2.8049999999999926,2,2,1.9841181920440134,0,0
17033235-581e-4015-afe8-f4f776852090,362,17.325000000000003,33.15,0,0,87.675,0.8500000000000014,23.80402064631211,17.345838838176725,0.07387650829785053,14.200462140367119,0.8500000000000014,0,2,3.1500000000000057,0,0
409bac23-1899-4e97-b0b8-7d8a93ee477a,542,17.762500000000003,25.839999999999996,1,1,87.2375,8.160000000000004,19.425296726873558,19.547173868618454,0.05954784225444975,17.95598594480403,7.395000000000003,2,2,1.5953761311991654,0,0
a85210e6-6f20-4ee8-8a85-46df62c76451,570,17.674999999999997,40.120000000000005,0,0,87.325,6.1200000000000045,21.033298807403117,18.704545570529106,0.06458729701391751,15.846736454235618,4.080000000000005,2,2,3.121378902023909,0,0
15888fd5-7ee2-4548-aa05-8d5dcdd42ec3,953,14.875,39.69500000000001,0,0,90.125,5.695000000000007,24.37600977593213,15.927920454346829,0.08022726538339418,13.949434576354703,5.185000000000002,2,1,1.991412815063716,0,1
68a2034a-661e-4bd7-ba50-04cbbdd9a808,1352,7.349999999999994,34.17,0,0,97.65,0.1700000000000017,52.92326603136212,7.3519657235327145,0.22516118949675945,6.917201836725593,0.25499999999999545,4,5,0.6099436449377906,0,1
6df104cf-25ee-4ee9-a1c8-091d14ccba69,1357,2.362499999999997,36.125,1,1,102.6375,2.125,100.79890410713503,3.1775826110425496,0.5616734003733196,1.8316249616119598,0.9350000000000023,4,2,1.4269745092327284,0,0
